field,DegreeLevel,SE_type,ethnicity_race,count
S&E occupations,bachelors,SE_field,Hispanic or Latino,372000
S&E occupations,bachelors,SE_field,Other,NA
S&E occupations,bachelors,SE_field,Asian,636000
S&E occupations,bachelors,SE_field,Black or African American,219000
S&E occupations,bachelors,SE_field,Other,11000
S&E occupations,bachelors,SE_field,White,2810000
S&E occupations,bachelors,SE_field,Other,109000
"Biological, agricultural, and other life scientists",bachelors,SE_field,Hispanic or Latino,36000
"Biological, agricultural, and other life scientists",bachelors,SE_field,Other,1000
"Biological, agricultural, and other life scientists",bachelors,SE_field,Asian,34000
"Biological, agricultural, and other life scientists",bachelors,SE_field,Black or African American,10000
"Biological, agricultural, and other life scientists",bachelors,SE_field,Other,NA
"Biological, agricultural, and other life scientists",bachelors,SE_field,White,187000
"Biological, agricultural, and other life scientists",bachelors,SE_field,Other,8000
Computer and mathematical scientists,bachelors,SE_field,Hispanic or Latino,182000
Computer and mathematical scientists,bachelors,SE_field,Other,NA
Computer and mathematical scientists,bachelors,SE_field,Asian,442000
Computer and mathematical scientists,bachelors,SE_field,Black or African American,144000
Computer and mathematical scientists,bachelors,SE_field,Other,NA
Computer and mathematical scientists,bachelors,SE_field,White,1547000
Computer and mathematical scientists,bachelors,SE_field,Other,69000
Physical and related scientists,bachelors,SE_field,Hispanic or Latino,15000
Physical and related scientists,bachelors,SE_field,Other,NA
Physical and related scientists,bachelors,SE_field,Asian,19000
Physical and related scientists,bachelors,SE_field,Black or African American,10000
Physical and related scientists,bachelors,SE_field,Other,NA
Physical and related scientists,bachelors,SE_field,White,141000
Physical and related scientists,bachelors,SE_field,Other,4000
Social and related scientists,bachelors,SE_field,Hispanic or Latino,29000
Social and related scientists,bachelors,SE_field,Other,NA
Social and related scientists,bachelors,SE_field,Asian,7000
Social and related scientists,bachelors,SE_field,Black or African American,6000
Social and related scientists,bachelors,SE_field,Other,NA
Social and related scientists,bachelors,SE_field,White,104000
Social and related scientists,bachelors,SE_field,Other,2000
Engineers,bachelors,SE_field,Hispanic or Latino,110000
Engineers,bachelors,SE_field,Other,4000
Engineers,bachelors,SE_field,Asian,134000
Engineers,bachelors,SE_field,Black or African American,49000
Engineers,bachelors,SE_field,Other,NA
Engineers,bachelors,SE_field,White,830000
Engineers,bachelors,SE_field,Other,25000
S&E-related occupations,bachelors,SE_field,Hispanic or Latino,485000
S&E-related occupations,bachelors,SE_field,Other,11000
S&E-related occupations,bachelors,SE_field,Asian,534000
S&E-related occupations,bachelors,SE_field,Black or African American,336000
S&E-related occupations,bachelors,SE_field,Other,25000
S&E-related occupations,bachelors,SE_field,White,3298000
S&E-related occupations,bachelors,SE_field,Other,105000
Non-S&E occupations,bachelors,SE_field,Hispanic or Latino,2395000
Non-S&E occupations,bachelors,SE_field,Other,57000
Non-S&E occupations,bachelors,SE_field,Asian,1522000
Non-S&E occupations,bachelors,SE_field,Black or African American,1838000
Non-S&E occupations,bachelors,SE_field,Other,64000
Non-S&E occupations,bachelors,SE_field,White,15944000
Non-S&E occupations,bachelors,SE_field,Other,583000
